Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
1862,5,37,65,83,No Shipping Class Assigned,,,,,,,
1863,5,37,65,83,No Shipping Class Assigned,,,,,,,
1864,5,37,65,83,No Shipping Class Assigned,,,,,,,
1865,5,37,65,83,No Shipping Class Assigned,,,,,,,
1866,5,37,65,83,No Shipping Class Assigned,,,,,,,
1867,5,37,65,83,No Shipping Class Assigned,,,,,,,
1876,5,37,65,83,No Shipping Class Assigned,,,,,,,
1879,5,37,65,83,No Shipping Class Assigned,,,,,,,
1880,5,37,65,83,No Shipping Class Assigned,,,,,,,
1885,5,37,65,83,No Shipping Class Assigned,,,,,,,
1886,5,37,65,83,No Shipping Class Assigned,,,,,,,
1887,5,37,65,83,No Shipping Class Assigned,,,,,,,
1888,5,37,65,83,No Shipping Class Assigned,,,,,,,
1889,5,37,65,83,No Shipping Class Assigned,,,,,,,
1890,5,37,65,83,No Shipping Class Assigned,,,,,,,
1899,5,37,65,83,No Shipping Class Assigned,,,,,,,
1901,5,37,65,83,No Shipping Class Assigned,,,,,,,
1902,5,37,65,83,No Shipping Class Assigned,,,,,,,
1903,5,37,65,83,No Shipping Class Assigned,,,,,,,
1904,5,37,65,83,No Shipping Class Assigned,,,,,,,
1905,5,37,65,83,No Shipping Class Assigned,,,,,,,
1906,5,37,65,83,No Shipping Class Assigned,,,,,,,
1907,5,37,65,83,No Shipping Class Assigned,,,,,,,
1908,5,37,65,83,No Shipping Class Assigned,,,,,,,
1910,5,37,65,83,No Shipping Class Assigned,,,,,,,
1913,5,37,65,83,No Shipping Class Assigned,,,,,,,
1915,5,37,65,83,No Shipping Class Assigned,,,,,,,
1921,5,37,65,83,No Shipping Class Assigned,,,,,,,
1922,5,37,65,83,No Shipping Class Assigned,,,,,,,
1923,5,37,65,83,No Shipping Class Assigned,,,,,,,
1929,5,37,65,83,No Shipping Class Assigned,,,,,,,
1930,5,37,65,83,No Shipping Class Assigned,,,,,,,
1931,5,37,65,83,No Shipping Class Assigned,,,,,,,
1936,5,37,65,83,No Shipping Class Assigned,,,,,,,
1937,5,37,65,83,No Shipping Class Assigned,,,,,,,
1938,5,37,65,83,No Shipping Class Assigned,,,,,,,
1940,5,37,65,83,No Shipping Class Assigned,,,,,,,
1944,5,37,65,83,No Shipping Class Assigned,,,,,,,
1945,5,37,65,83,No Shipping Class Assigned,,,,,,,
1947,5,37,65,83,No Shipping Class Assigned,,,,,,,
1949,5,37,65,83,No Shipping Class Assigned,,,,,,,
1950,5,37,65,83,No Shipping Class Assigned,,,,,,,
1951,5,37,65,83,No Shipping Class Assigned,,,,,,,
1952,5,37,65,83,No Shipping Class Assigned,,,,,,,
1960,5,37,65,83,No Shipping Class Assigned,,,,,,,
1961,5,37,65,83,No Shipping Class Assigned,,,,,,,
1964,5,37,65,83,No Shipping Class Assigned,,,,,,,
1965,5,37,65,83,No Shipping Class Assigned,,,,,,,
1966,5,37,65,83,No Shipping Class Assigned,,,,,,,
1969,5,37,65,83,No Shipping Class Assigned,,,,,,,
1970,5,37,65,83,No Shipping Class Assigned,,,,,,,
1971,5,37,65,83,No Shipping Class Assigned,,,,,,,
1982,5,37,65,83,No Shipping Class Assigned,,,,,,,
1983,5,37,65,83,No Shipping Class Assigned,,,,,,,
1984,5,37,65,83,No Shipping Class Assigned,,,,,,,
1985,5,37,65,83,No Shipping Class Assigned,,,,,,,
2018,5,37,65,83,No Shipping Class Assigned,,,,,,,
2019,5,37,65,83,No Shipping Class Assigned,,,,,,,
2020,5,37,65,83,No Shipping Class Assigned,,,,,,,
2021,5,37,65,83,No Shipping Class Assigned,,,,,,,
2025,5,37,65,83,No Shipping Class Assigned,,,,,,,
2026,5,37,65,83,No Shipping Class Assigned,,,,,,,
2027,5,37,65,83,No Shipping Class Assigned,,,,,,,
2030,5,37,65,83,No Shipping Class Assigned,,,,,,,
2031,5,37,65,83,No Shipping Class Assigned,,,,,,,
2032,5,37,65,83,No Shipping Class Assigned,,,,,,,
2035,5,37,65,83,No Shipping Class Assigned,,,,,,,
2038,5,37,65,83,No Shipping Class Assigned,,,,,,,
2040,5,37,65,83,No Shipping Class Assigned,,,,,,,
2041,5,37,65,83,No Shipping Class Assigned,,,,,,,
2043,5,37,65,83,No Shipping Class Assigned,,,,,,,
2044,5,37,65,83,No Shipping Class Assigned,,,,,,,
2045,5,37,65,83,No Shipping Class Assigned,,,,,,,
2047,5,37,65,83,No Shipping Class Assigned,,,,,,,
2048,5,37,65,83,No Shipping Class Assigned,,,,,,,
2050,5,37,65,83,No Shipping Class Assigned,,,,,,,
2051,5,37,65,83,No Shipping Class Assigned,,,,,,,
2052,5,37,65,83,No Shipping Class Assigned,,,,,,,
2053,5,37,65,83,No Shipping Class Assigned,,,,,,,
2054,5,37,65,83,No Shipping Class Assigned,,,,,,,
2055,5,37,65,83,No Shipping Class Assigned,,,,,,,
2056,5,37,65,83,No Shipping Class Assigned,,,,,,,
2059,5,37,65,83,No Shipping Class Assigned,,,,,,,
2060,5,37,65,83,No Shipping Class Assigned,,,,,,,
2061,5,37,65,83,No Shipping Class Assigned,,,,,,,
2062,5,37,65,83,No Shipping Class Assigned,,,,,,,
2065,5,37,65,83,No Shipping Class Assigned,,,,,,,
2066,5,37,65,83,No Shipping Class Assigned,,,,,,,
2067,5,37,65,83,No Shipping Class Assigned,,,,,,,
2070,5,37,65,83,No Shipping Class Assigned,,,,,,,
2071,5,37,65,83,No Shipping Class Assigned,,,,,,,
2072,5,37,65,83,No Shipping Class Assigned,,,,,,,
2081,5,37,65,83,No Shipping Class Assigned,,,,,,,
2090,5,37,65,83,No Shipping Class Assigned,,,,,,,
2093,5,37,65,83,No Shipping Class Assigned,,,,,,,
2101,5,37,65,83,No Shipping Class Assigned,,,,,,,
2102,5,37,65,83,No Shipping Class Assigned,,,,,,,
2103,5,37,65,83,No Shipping Class Assigned,,,,,,,
2104,5,37,65,83,No Shipping Class Assigned,,,,,,,
2105,5,37,65,83,No Shipping Class Assigned,,,,,,,
2106,5,37,65,83,No Shipping Class Assigned,,,,,,,
2107,5,37,65,83,No Shipping Class Assigned,,,,,,,
2108,5,37,65,83,No Shipping Class Assigned,,,,,,,
2109,5,37,65,83,No Shipping Class Assigned,,,,,,,
2110,5,37,65,83,No Shipping Class Assigned,,,,,,,
2111,5,37,65,83,No Shipping Class Assigned,,,,,,,
2112,5,37,65,83,No Shipping Class Assigned,,,,,,,
2113,5,37,65,83,No Shipping Class Assigned,,,,,,,
2114,5,37,65,83,No Shipping Class Assigned,,,,,,,
2115,5,37,65,83,No Shipping Class Assigned,,,,,,,
2116,5,37,65,83,No Shipping Class Assigned,,,,,,,
2117,5,37,65,83,No Shipping Class Assigned,,,,,,,
2118,5,37,65,83,No Shipping Class Assigned,,,,,,,
